tick,wind,sun,s2,s3,s4,s6,s7,s8,s9,sB,sC,sD,sE,sF,sG,sH,sI,sJ,sK,sM,sN,sO,a1,a2,a3,a4,a5,a6,a7,a8,a9,aA,aB,aC,aD,aE,aF,aG
0,13.063050127036465,-0.10093645729385381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12.173827756027254,0.34678392286524595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.893525667488575e-3,3.437104169279337e-2,1.3969838619232178e-5,1.7462298274040222e-6,0.0,0.0,4.791654646396637e-3,1.3969838619232178e-5,1.3969838619232178e-5,4.71482053399086e-5,1.7462298274040222e-6,0.0,0.0,0.0,1.7462298274040222e-6,0.0
2,13.184555675321391,-6.012667549710282e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,2.8691114857792854,15.0,1.0349974036216736,4.71482053399086e-2,15.0,3.4931162372231483,1.4971737982705235,2.5196297792717814,5.893525667488575e-3,1.0724033927544951,9.581912308931351e-2,0.39636099245399237,1.0349974036216736,0.2905289875343442
3,12.676587188907451,-0.40623576674917483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,10.701746796257794,,7.152557373046875,0.43663952965289354,,9.52005386352539,3.3294036984443665,7.844282663427293,7.152557373046875e-3,4.895068123005331,0.5989568307995796,1.6435375437140465,3.4931162372231483,1.7462298274040222
4,12.112189647501323,0.43510691734744844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,9.199180640280247,,7.702521979808807,0.3771856427192688,,9.358700481243432,2.8691114857792854,10.354690602980554,2.124637831002474e-2,4.108244902454317,0.5736522143706679,1.5937368152663112,3.748612361960113,1.7462298274040222
5,12.585076779864936,-0.237900619779573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,5.546939210034907,,6.887675262987614,0.30666589736938477,,9.041483863256872,2.5871163234114647,8.579227142035961,2.124637831002474e-2,4.5892177149653435,0.5020340904593468,1.1900067329406738,2.8691114857792854,1.8531130626797676
6,11.627019402572433,-8.76696383008575e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,5.434504710137844,,7.562479586340487,0.39636099245399237,,10.184012353420258,2.5871163234114647,8.579227142035961,2.4139881134033203e-2,4.895068123005331,0.5252013215795159,1.1498975800350308,2.7256831526756287,1.7991423374041915
7,14.43007802853539,0.4269713044465965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,5.66091388463974,,8.579227142035961,0.4795583663508296,,10.354690602980554,3.662109375,8.579227142035961,4.25887992605567e-2,6.1324238777160645,0.457763671875,1.404592185281217,2.9426749097183347,2.079787664115429
8,13.950645579143794,0.15163666348047933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.848303161561489,,15.0,0.5989568307995796,,11.603124439716339,6.377692334353924,6.1324238777160645,0.1293746754527092,8.13300081063062,0.8940696716308594,1.0724033927544951,3.662109375,2.7967843925580382
9,14.47578782850136,-4.257126727595928e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10.184012353420258,,14.82490450143814,1.1106999590992928,,11.056472430936992,4.392564296722412,12.167504173703492,0.1293746754527092,6.629414856433868,1.1498975800350308,2.6557972887530923,4.895068123005331,3.2495014602318406
10,14.313029436698985,0.3818932357577074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.199180640280247,,15.0,1.7462298274040222,,11.977390386164188,4.999958910048008,15.0,0.12035190593451262,9.848303161561489,1.1498975800350308,4.296380211599171,6.1324238777160645,4.016272723674774
11,13.831857863227837,0.4218572790880569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.358700481243432,,15.0,1.2730015441775322,,9.52005386352539,4.895068123005331,11.236737482249737,0.1293746754527092,10.701746796257794,1.2310378951951861,3.4931162372231483,6.254256586544216,3.3294036984443665
12,12.432519795812393,0.6201180020169677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.844282663427293,,15.0,0.5490705370903015,,11.603124439716339,3.748612361960113,11.236737482249737,0.1293746754527092,6.757722585462034,0.8940696716308594,3.410605131648481,6.254256586544216,2.5196297792717814
13,12.097369910805469,1.072687779909955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.377692334353924,,11.603124439716339,0.5736522143706679,,8.13300081063062,2.1392066264525056,11.236737482249737,4.71482053399086e-2,4.689708002842963,0.8286768570542336,2.7256831526756287,5.66091388463974,2.3242319002747536
14,12.822657041207187,1.797652839562597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.5892177149653435,,9.041483863256872,0.4795583663508296,,8.885599672794342,2.3242319002747536,11.056472430936992,6.863381713628769e-2,4.296380211599171,0.6793130887672305,2.6557972887530923,4.296380211599171,1.5937368152663112
15,11.980566723902419,2.3919181225842703,0.0,0.0,0.0,0.0,0.2490234375,0.3076171875,0.1904296875,0.0,0.1171875,0.1171875,0.17578125,0.0,0.0,0.2490234375,0.3662109375,0.1904296875,0.0,0.3076171875,0.2490234375,0.1171875,,,2.5871163234114647,,7.424145005643368,0.5252013215795159,,10.015220032073557,2.1392066264525056,12.359619140625,0.1699710264801979,4.392564296722412,0.5252013215795159,2.5196297792717814,4.108244902454317,1.4971737982705235
16,11.756405305157061,3.1968958031813086,0.498046875,0.6884765625,0.8056640625,0.7470703125,1.0546875,1.1865234375,1.0107421875,0.6298828125,0.99609375,1.0107421875,1.0546875,0.673828125,0.615234375,1.11328125,1.2451171875,1.0693359375,0.498046875,1.11328125,1.1279296875,0.9375,,,2.453327178955078,,7.152557373046875,0.3771856427192688,,8.731517591513693,2.453327178955078,8.885599672794342,0.15912519302219152,4.016272723674774,0.5020340904593468,2.021479303948581,3.4931162372231483,1.3159081572666764
17,11.413617313326121,3.7112516124935686,1.11328125,1.318359375,1.494140625,1.3037109375,1.6845703125,1.81640625,1.640625,1.1279296875,1.552734375,1.58203125,1.6259765625,1.23046875,1.1865234375,1.7431640625,1.875,1.7138671875,1.0693359375,1.7431640625,1.7578125,1.5673828125,,,2.079787664115429,,4.5892177149653435,0.1812988193705678,,6.629414856433868,3.0174851417541504,7.152557373046875,0.1388374948874116,3.836466930806637,0.2905289875343442,1.6435375437140465,3.836466930806637,1.1498975800350308
18,11.428600760695035,4.333497851397894,1.7431640625,1.9482421875,2.05078125,1.81640625,2.314453125,2.4462890625,2.28515625,1.640625,2.1826171875,2.2119140625,2.255859375,1.8017578125,1.6845703125,2.2998046875,2.548828125,2.28515625,1.5673828125,2.373046875,2.4462890625,2.197265625,,,2.3881980450823903,,3.9256835589185357,9.581912308931351e-2,,5.434504710137844,3.662109375,5.214214324951172,0.1293746754527092,3.410605131648481,0.23163913283497095,1.2310378951951861,2.453327178955078,1.1900067329406738
19,11.45119168572536,5.861064048786489,3.1787109375,3.45703125,3.5595703125,3.134765625,3.7646484375,3.9404296875,3.6767578125,2.900390625,3.5595703125,3.662109375,3.69140625,3.046875,2.9443359375,3.75,4.0576171875,3.75,2.8271484375,3.80859375,3.9697265625,3.7060546875,,,1.964271068572998,,3.5769474925473332,2.124637831002474e-2,,4.895068123005331,3.4931162372231483,3.170887939631939,0.1388374948874116,3.170887939631939,0.21827872842550278,1.1106999590992928,1.7462298274040222,1.1498975800350308
20,10.84498043348778,6.424922118555543,3.75,4.0869140625,4.1748046875,3.6328125,4.3798828125,4.5703125,4.3212890625,3.4130859375,4.1162109375,4.2919921875,4.2626953125,3.603515625,3.5009765625,4.365234375,4.6875,4.3212890625,3.33984375,4.423828125,4.599609375,4.27734375,,,2.453327178955078,,4.296380211599171,7.152557373046875e-3,,5.323599907569587,2.6557972887530923,2.7967843925580382,0.21827872842550278,2.453327178955078,0.15912519302219152,1.0724033927544951,1.6943650553002954,0.9984715143218637
21,10.842978746194738,7.3418412103872885,4.74609375,5.15625,5.185546875,4.51171875,5.390625,5.5810546875,5.2734375,4.2333984375,5.1123046875,5.302734375,5.2587890625,4.4677734375,4.3798828125,5.302734375,5.68359375,5.33203125,4.21875,5.4345703125,5.6689453125,5.3466796875,,,3.170887939631939,,2.1392066264525056,1.0184012353420258e-2,,5.323599907569587,2.021479303948581,3.9256835589185357,0.1293746754527092,2.079787664115429,0.1035846071317792,0.9984715143218637,1.7462298274040222,0.624994863756001
22,10.564960304505362,7.942491965764903,5.302734375,5.7275390625,5.7421875,5.009765625,5.9619140625,6.2109375,5.8447265625,4.74609375,5.68359375,5.8740234375,5.830078125,4.9658203125,4.8193359375,5.8740234375,6.298828125,5.9033203125,4.716796875,5.9912109375,6.2255859375,5.91796875,,,2.1392066264525056,,1.4503905549645424,7.152557373046875e-3,,4.5892177149653435,2.8691114857792854,4.296380211599171,0.14875084161758423,1.964271068572998,3.8333237171173096e-2,0.928018125705421,2.1997466683387756,0.8940696716308594
